,iter,best_obj,rel_diff,best_ext_h0,Nd_slope,Nd_intercept,Nd_beta0,Nd_beta1,Pr_slope,Pr_intercept,Pr_beta0,Pr_beta1,Ce_slope,Ce_intercept,Ce_beta0,Ce_beta1,La_slope,La_intercept,La_beta0,La_beta1,Dy_slope,Dy_intercept,Dy_beta0,Dy_beta1,Sm_slope,Sm_intercept,Sm_beta0,Sm_beta1,Y_slope,Y_intercept,Y_beta0,Y_beta1
11,11,8.491196857967895e-05,1.3118334901996995,-1376877.1544988335,3.0139001564181234,-777482.0137288059,2.4891695692571334,1.0067452500133052,2.7082813102477377,-1340320.351525344,0.06570193477294409,15.318347397454074,2.9937062166470865,-811848.1861685036,0.3807242781267447,0.4571366236203172,3.0321484162541092,-734038.497344836,0.07278743339509186,15.771531203484976,3.0051889316605727,-797963.4095808832,0.6129506027939315,5.359938906721338,2.9982864527868296,-796410.7494542947,0.6989622949357988,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
12,12,8.491196857967895e-05,0.6176079935219678,-1376877.1544988335,2.9991637169323253,-799348.0533050542,2.0606574395422745,0.9999146041973166,2.645965929040643,-1371545.8507318976,0.06530562967326357,14.087654782739659,2.994388651142047,-812440.2720371439,0.3797153647239341,0.45689994044316656,2.976360040153504,-826947.2829702377,0.0721742508966242,13.950564590026154,3.005188713573002,-797963.3993561977,0.6129506195016742,5.3599391806962355,2.9982864192709067,-796410.7494542947,0.6989622787849055,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
13,13,8.491196857967895e-05,0.447458797489282,-1376877.1544988335,2.9980180983111584,-800782.7580580596,2.384966567099209,1.0089359468087284,2.624593032594632,-1360513.8600727562,0.0652016206426237,13.974111290564698,2.9921196188008023,-811824.6368088808,0.37971475358406565,0.4568995049435289,2.9835754249798847,-836109.188415324,0.07001616810133855,16.854824585869906,3.0051889446809152,-797963.4129476986,0.6129506507011362,5.359939692544431,2.998286452925373,-796410.7494542947,0.6989622749758465,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
14,14,8.491196857967895e-05,0.348360677031186,-1376877.1544988335,2.9982081321172895,-800795.2294772209,2.384966526824247,1.0089359542883563,2.666975566695788,-1499994.1414862953,0.06545352162164432,15.242130244485235,2.9921792830474856,-811827.830457512,0.3797147346864944,0.45689949537118524,3.0165968899178837,-760698.0568963296,0.06972550438458386,17.353271986524845,3.005188720514459,-797963.4023398461,0.6129506661375982,5.359939945648347,2.9982864196902987,-796410.7494542947,0.6989622591872565,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
15,15,8.491196857967895e-05,0.8542573291619304,-1376877.1544988335,2.998712505758874,-802387.4877053623,1.5206330649921567,0.9981622444785841,2.713156877040639,-1478192.0473444732,0.06274057809944926,13.092934019657042,2.994891728361129,-812682.5967323158,0.38018937518269785,0.4567780326119338,3.03009818160027,-757243.0989114699,0.0690109050871497,13.154321394861364,3.005188961745495,-797963.4167757028,0.6129507031227088,5.359940552366342,2.9982864530536806,-796410.7494542947,0.6989622553597238,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
16,16,8.491196857967895e-05,0.9448120605121391,-1376877.1544988335,2.997515876288025,-800762.0931049074,2.371926193409047,1.0392028818516033,2.529014996778218,-1394593.2488741723,0.06362240882017806,15.72054555069271,2.992321826257504,-811985.236014034,0.380188573336472,0.45677745562445643,3.0311603879490625,-757395.5635541482,0.06901090642373163,13.15434949309279,3.0051887279351726,-797963.4056092768,0.6129507173831404,5.359940786171395,2.9982864200995016,-796410.7494542947,0.6989622399197148,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
17,17,8.491196857967895e-05,0.06986866489189483,-1376877.1544988335,2.998185517350526,-800940.9851411111,2.3719292648415435,1.0392030732451656,2.572480079015409,-1398076.7310485386,0.06363412395715484,14.965559296480045,2.9916507242807455,-811803.1343536598,0.3801884696593834,0.4567773926702631,3.029587351548093,-757002.5991619993,0.06901085836588974,13.153841661748762,3.00518898709267,-797963.4214979863,0.6129507639240588,5.359941549628348,2.9982864531810547,-796410.7494542947,0.6989622360690536,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
18,18,8.491196857967895e-05,7.537649140057278,-1376877.1544988335,2.9139186135307895,-903717.07595184,1.1713250218349551,7.8961519078936995,2.551409491193631,-1396607.749248508,0.06364635989520172,15.028103657774764,2.992358699183809,-811883.3497541018,0.38014823465953007,0.45676064010613937,3.0225440094645197,-757527.3282072913,0.06907140877109968,16.557914647062493,3.0051887374402306,-797963.4094522469,0.6129507769959467,5.3599417639476465,2.9982864204802095,-796410.7494542947,0.6989622209402793,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
19,19,8.491196857967895e-05,0.3395564898628593,-1376877.1544988335,2.9206876794423295,-906067.0736166579,1.171453185504549,7.897253707676486,2.542473620212442,-1395291.4660299404,0.06365232727832787,15.064625151652315,2.9913152280569513,-811600.2380135104,0.3801480833041433,0.45676053922619353,3.00948706713011,-770684.9871133575,0.06894408512873036,21.578016654838063,3.0051890362364753,-797963.4285937521,0.6129508452597554,5.359942883786607,2.998286453304157,-796410.7494542947,0.6989622170705244,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
20,20,8.491196857967895e-05,0.27887232716945426,-1376877.1544988335,2.932945093248787,-893472.3867422906,1.2372118357462467,8.367708345062676,2.5681008604924935,-1424501.3718411059,0.06389293355566235,16.006743784511794,2.9915688192964494,-811676.8964187511,0.38001482584768576,0.4566967822701942,2.9966407511121345,-795742.7223232647,0.06891628915899889,21.364797187402115,3.005188756433512,-797963.4149199789,0.6129508568428819,5.359943073668666,2.9982864208411075,-796410.7494542947,0.6989622022429722,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
21,21,8.491196857967895e-05,0.07904486462976254,-1376877.1544988335,2.9192941732704183,-899595.6903217547,1.2289167121597353,8.270591970104478,2.5885541497990276,-1425201.6370605633,0.06406357430240948,16.055658203899945,2.991141414262,-812827.4608356728,0.3798926190405488,0.45663532315631505,2.993009643896257,-802640.8358981846,0.06886889954042703,20.88499046197079,3.0051892653467993,-797963.4540443348,0.6129510889764764,5.359946881486811,2.9982864534278213,-796410.7494542947,0.6989621983540872,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
22,22,8.491196857967895e-05,2.8078518871500875,-1376877.1544988335,2.5130533352916404,-1308478.271342789,2.3685619028157476,1.0600650778914467,2.532808888931495,-1416725.967204896,0.06411203767956787,15.094184412115302,2.990867139013824,-812773.0935418691,0.3798925911718346,0.456635306115862,2.99518346032217,-803786.8612650471,0.06825025926005274,14.294244836372703,3.0051888907116417,-797963.4353105845,0.6129510969272831,5.359947011739686,2.9982864212214833,-796410.7494542947,0.6989621838326963,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
