label,Feed H+[M],Feed H+[M].1,PC88A[M],PC88A[M].1,Feed Nd[M],Xaq Nd,D Nd,Feed Pr[M],Xaq Pr,D Pr,Feed Ce[M],Xaq Ce,D Ce,Feed La[M],Xaq La,D La,Feed Dy[M],Xaq Dy,D Dy,Feed Sm[M],Xaq Sm,D Sm,Feed Y[M],Xaq Y,D Y
Kim (2012),0.01023293,0.01023293,1,1,0.009359401,0.005005027,0.87,0.003371001,0.001862432,0.81,0.038539496,0.028547775,0.35,0.022461314,0.019702907,0.14,0,0,0,0,0,0,0,0,0
Kim (2012),0.01023293,0.01023293,2,2,0.009359401,0.003109436,2.01,0.003371001,0.001404584,1.4,0.038539496,0.021059834,0.83,0.022461314,0.018261231,0.23,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0.0508008,0.0305,0.6656,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0.09999878,0.0763,0.3106,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0.15009456,0.1232,0.2183,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0.2000068,0.1708,0.171,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0.30001216,0.2672,0.1228,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0.0499975,0.035,0.4285,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0.10000115,0.0785,0.2739,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0.1500032,0.128,0.1719,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0.20000832,0.1752,0.1416,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0.29999816,0.2728,0.0997,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0.05010115,0.0355,0.4113,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0.10000382,0.0826,0.2107,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0.1499967,0.1305,0.1494,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0.2000008,0.178,0.1236,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0,0,0,0.05,0.04,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0,0,0,0.10029675,0.0865,0.1595,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0,0,0,0.15000153,0.1351,0.1103,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0,0,0,0.20054418,0.1838,0.0911,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0,0,0,0.29999441,0.2753,0.0897,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0,0,0,0.29998992,0.2811,0.0672,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.10000029,0.0221,3.5249,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.15000025,0.0575,1.6087,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19999582,0.1037,0.9286,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25000596,0.1494,0.6734,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.30000931,0.1997,0.5023,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0500002,0.0106,3.717,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09999641,0.0409,1.4449,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14999806,0.0802,0.8703,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19999448,0.1252,0.5974,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.29999394,0.2206,0.3599,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04999904,0.0221,1.2624,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09999996,0.0573,0.7452,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.15000096,0.0984,0.5244,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19999616,0.1414,0.4144,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.30001016,0.2369,0.2664,0,0,0,0,0,0
Li (1987),0.7,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04799855,0.0313,0.5335,0,0,0,0,0,0
Li (1987),0.7,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1000035,0.071,0.4085,0,0,0,0,0,0
Li (1987),0.7,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.15000453,0.1131,0.3263,0,0,0,0,0,0
Li (1987),0.7,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19980428,0.1586,0.2598,0,0,0,0,0,0
Li (1987),0.7,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.30000123,0.2517,0.1919,0,0,0,0,0,0
Li (1987),0.0001,0.0001,1,1,0,0,0,0,0,0,0,0,0,0.04999962,0.0363,0.3774,0,0,0,0,0,0,0,0,0
Li (1987),0.0001,0.0001,1,1,0,0,0,0,0,0,0,0,0,0.09999712,0.0844,0.1848,0,0,0,0,0,0,0,0,0
Li (1987),0.0001,0.0001,1,1,0,0,0,0,0,0,0,0,0,0.1499944,0.1345,0.1152,0,0,0,0,0,0,0,0,0
Li (1987),0.0001,0.0001,1,1,0,0,0,0,0,0,0,0,0,0.19999665,0.1835,0.0899,0,0,0,0,0,0,0,0,0
Li (1987),0.0001,0.0001,1,1,0,0,0,0,0,0,0,0,0,0.24999486,0.2329,0.0734,0,0,0,0,0,0,0,0,0
Li (1987),0.0001,0.0001,1,1,0,0,0,0,0,0,0,0,0,0.29998637,0.2833,0.0589,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0.0499991,0.0395,0.2658,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0.10000231,0.0881,0.1351,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0.15000091,0.1367,0.0973,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0.20009536,0.1856,0.0781,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0.40540686,0.3846,0.0541,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0,0,0,0.09999756,0.0897,0.1148,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0,0,0,0.15000544,0.1391,0.0784,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0,0,0,0.19999343,0.1883,0.0621,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0,0,0,0,0,0,0.29999853,0.2881,0.0413,0,0,0,0,0,0,0,0,0
Li (1987),0.04,0.04,1,1,0,0,0,0,0,0,0,0,0,0.05030076,0.0444,0.1329,0,0,0,0,0,0,0,0,0
Li (1987),0.04,0.04,1,1,0,0,0,0,0,0,0,0,0,0.09999639,0.0919,0.0881,0,0,0,0,0,0,0,0,0
Li (1987),0.04,0.04,1,1,0,0,0,0,0,0,0,0,0,0.15000408,0.1413,0.0616,0,0,0,0,0,0,0,0,0
Li (1987),0.04,0.04,1,1,0,0,0,0,0,0,0,0,0,0.20049903,0.1917,0.0459,0,0,0,0,0,0,0,0,0
Li (1987),0.04,0.04,1,1,0,0,0,0,0,0,0,0,0,0.29948604,0.2883,0.0388,0,0,0,0,0,0,0,0,0
Lyon (2016),0.01,0.01,1,1,0.08666112,0.05352756,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0.08666112,0.060900295,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0.08666112,0.067916239,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0.08666112,0.084878668,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.01,0.01,1,1,0.042983916,0.015124531,1.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0.042983916,0.020410216,1.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0.042983916,0.026354332,0.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0.042983916,0.039290599,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.01,0.01,1,1,0.005546312,3.16E-05,174.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0.005546312,0.000451912,11.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0.005546312,0.001558828,2.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0.005546312,0.005400498,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.251,0.25,1,1,0.1,0.087622932,0.141253754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.251,0.25,1.5,1.5,0.1,0.07955199,0.257039578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.251,0.25,2,2,0.1,0.074253556,0.34673685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.251,0.25,2.5,2.5,0.1,0.071525275,0.398107171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.251,0.25,3,3,0.1,0.066613942,0.501187234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.134,0.13,1,1,0.1,0.075124079,0.331131121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0835,0.08,1,1,0.1,0.065582051,0.52480746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0285,0.03,1,1,0.1,0.059662917,0.676082975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.262,0.26,2,2,0.1,0.079923999,0.251188643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.134,0.13,2,2,0.1,0.061313682,0.630957344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0835,0.08,2,2,0.1,0.051151089,0.954992586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0285,0.03,2,2,0.1,0.044837645,1.230268771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0114,0.01,2,2,0.1,0.041450132,1.412537545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.262,0.26,3,3,0.1,0.074253556,0.34673685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.134,0.13,3,3,0.1,0.048273748,1.071519305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0835,0.08,3,3,0.1,0.040337083,1.479108388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0285,0.03,3,3,0.1,0.033900091,1.9498446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee (2005),0.0114,0.01,3,3,0.1,0.030387123,2.290867653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0.05000119,0.0239,1.0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0.09999803,0.0683,0.4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0.1500057,0.117,0.2821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0.200004,0.168,0.1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0.30001149,0.2637,0.1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0.03453582,0.0201,0.7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0.09996185,0.0757,0.3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0.19999308,0.1722,0.1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0.04999817,0.0389,0.2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0.1499974,0.133,0.1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0.19999876,0.1807,0.1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0.2500032,0.232,0.0776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0.30001216,0.2807,0.0688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0.01996974,0.0189,0.0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0.04997968,0.0478,0.0456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0.15000144,0.1464,0.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.3,0.3,1,1,0.29998765,0.2957,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0.04999786,0.0482,0.0373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0.10000096,0.0976,0.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.5,0.5,1,1,0.20000784,0.1968,0.0163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.03,0.03,1,1,0,0,0,0.09296866,0.06556323,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0,0,0,0.09296866,0.066835844,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0,0,0,0.09296866,0.080076365,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0,0,0,0.09296866,0.091957131,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.03,0.03,1,1,0,0,0,0.047548856,0.02373882,1.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0,0,0,0.047548856,0.025646632,0.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0,0,0,0.047548856,0.034988121,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0,0,0,0.047548856,0.045371046,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.01,0.01,1,1,0,0,0,0.00638716,5.54E-05,114.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0,0,0,0.00638716,0.000669233,8.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0,0,0,0.00638716,0.002264147,1.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0,0,0,0.00638716,0.006323921,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0.04999995,0.0259,0.9305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0.09999925,0.0725,0.3793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0.20000715,0.1673,0.1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0.29999192,0.2648,0.1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0.05000109,0.0307,0.6287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0.10009624,0.0776,0.2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0.20000456,0.1736,0.1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.03,0.03,1,1,0,0,0,0.2999997,0.273,0.0989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0.05002915,0.0349,0.4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0.09997622,0.0809,0.2358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0.14999553,0.1299,0.1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0.25001088,0.2272,0.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0.04999995,0.0385,0.2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0.09999936,0.0864,0.1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0.14998624,0.1343,0.1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.07,0.07,1,1,0,0,0,0.24999474,0.2334,0.0711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0.0499992,0.0415,0.2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0.10000199,0.0901,0.1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0.1999998,0.189,0.0582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0.30000544,0.2888,0.0388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500503,0.0115,3.3522,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999792,0.048,1.0829,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1500016,0.0944,0.589,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24999968,0.1864,0.3412,0,0,0
Li (1987),0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000263,0.2371,0.2653,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05032248,0.0156,2.2258,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000216,0.0556,0.7986,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000255,0.1035,0.4493,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30392343,0.1997,0.5219,0,0,0
Li (1987),0.05,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000411,0.2471,0.2141,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04999989,0.0219,1.2831,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09999773,0.0623,0.6051,0,0,0
Li (1987),0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000375,0.1105,0.3575,0,0,0
